spacegroup/cage,sym_type_1,sym_axis_1,sym_axis_1D(D_only),origin_1,sym_type_2,sym_axis_2,sym_axis_2D(D_only),origin_2,dihedral,offset,shift(angle_0_only)
I41/amd:2,C2,"0.707107,0.707107,0",-,"-0.125,0.125,0.375",C2h,"1,0,0","1,0,0","0,0,0.5",45,0.125,0
P622,C2,"0.866025,0.5,0",-,"0,0.5,0",D6,"0,0,1","0.866025,-0.5,0","0,0,0.5",90,0.433013,0
P6/mcc,C2,"0.866025,0.5,0",-,"0,-0.5,0.25",C6h,"0,0,1","0,0,1","0,0,0",90,0.433013,0
P63/mmc,C2,"0.866025,0.5,0",-,"0,0,-0.25",C2h,"0.5,0.866025,0","0.5,0.866025,0","-0.341506,-0.591506,0",30,0.25,0
P432,C2,"0,0.707107,0.707107",-,0.25,D4,"0,0,1","1,0,0","0,0,-0.5",45,0.5,0
F4132,C2,"0,1,0",-,0.176777,D3,"-0.57735,0.57735,0.57735","0.707107,0,0.707107","-0.375,0.375,0.375",54.7356,0.353553,0
I432,C2,"0.707107,0,0.707107",-,0.125,D2,"1,0,0","0,0.707107,0.707107","0,0.5,0.5",45,0.25,0
I432,C2,"-0.707107,0.707107,0",-,0.176777,D3,"-0.57735,0.57735,0.57735","0.707107,0.707107,0","0,0,0",35.2644,0.353553,0
I4132,C2,"0,-0.707107,0.707107",-,0.144338,D2,"-0.707107,0.707107,0","0.707107,0.707107,0","0,0.25,0.125",60,0.288675,0
P-43m,C2,"1,0,0",-,"0,0,0.5",C3v,"0.57735,0.57735,0.57735","-0.707107,0.707107,0","0,0,0",54.7356,0.353553,0
Pm-3m,C2,"0,1,0",-,0,D6d,"-0.57735,0.57735,0.57735","0.707107,0.707107,0","0.166667,-0.166667,-0.166667",54.7356,0.353553,0
Pm-3m,C2,"0.707107,0,0.707107",-,0,D2h,"0,-0.707107,0.707107","0,-0.707107,0.707107","-0.5,1,0",60,0.288675,0
Fm-3m,C2,"-0.707107,0,0.707107",-,0,D2h,"0,0,1","0,0,1","0.25,0.25,-0.5",45,0.25,0
Fd-3m:2,C2,"0.707107,0,0.707107",-,"0.375,0.25,-0.375",C2v,"0,0,1","-0.707107,0.707107,0","0.375,0.375,0",45,0.125,0
Im-3m,C2,"0.707107,0,0.707107",-,"-0.25,-0.25,0.25",C4v,"0,0,1","1,0,0","0,0,0",45,0.25,0
Im-3m,C2,"0.707107,0.707107,0",-,"-0.25,0.25,-0.25",C4h,"1,0,0","1,0,0","0,0,0",45,0.25,0
Im-3m,C2,"0,0.707107,0.707107",-,0,D4d,"0,1,0","0,0,1","0,0.25,0",45,0.25,0
Im-3m,C2,"0,0.707107,0.707107",-,"0.25,-0.25,0.25",C2v,"0.707107,0.707107,0","-0.707107,0.707107,0","0,0,0.5",60,0.144338,0
P6/mmm,C2,"0.866025,0.5,0",-,"0,0.5,0",D6h,"0,0,1","0,0,1","0,0,0.5",90,0.433013,0
I432,C2,"0,-0.707107,0.707107",-,"-0.25,0.25,0.25",C4,"0,1,0",-,"0,0,0",45,0.25,0
Pm-3m,C2,"0,0.707107,0.707107",-,0.25,D4h,"0,0,1","0,0,1","0,0,-0.5",45,0.5,0
Im-3m,C2,"-0.707107,0.707107,0",-,0,D6d,"0.57735,-0.57735,0.57735","0.707107,0.707107,0","-0.0833333,0.0833333,-0.0833333",35.2644,0.707107,0
I-42d,C2,"1,0,0",-,"0,-0.25,0.125",S4,"0,0,1",-,"0,0,0",90,0.25,0
R-3m:H,C2,"0.5,0.866025,0",-,"0.166667,-0.166667,0.333333",C2h,"-0.5,0.866025,0","-0.5,0.866025,0","0.322169,0.186004,0.166667",60,0.166667,0
P6/mmm,C2,"0.866025,-0.5,0",-,0.183013,D2h,"0,0,1","0,0,1","0,0.5,0",90,0.433013,0
